time,heat_target,temperature_feed,temperature_return
2040-12-17 23:00:00,-2069932,88.48,53.46
2040-12-18 23:00:00,0,87.82,53.44
2040-12-19 23:00:00,0,81.43,53.04
2040-12-20 23:00:00,0,82.90,53.09
2040-12-21 23:00:00,0,84.43,53.38
2040-12-22 23:00:00,-766216,87.46,54.18
2040-12-23 23:00:00,-7409459,90.34,54.95
2040-12-24 23:00:00,-8537838,87.45,54.84
2040-12-25 23:00:00,-6348649,79.42,52.87
2040-12-26 23:00:00,-414918,78.43,52.53
2040-12-27 23:00:00,-2243919,79.61,52.36
2040-12-28 23:00:00,-8835613,79.81,52.33
2040-12-29 23:00:00,-2353378,88.41,54.36
2040-12-30 23:00:00,500000,77.96,52.35
2040-12-31 23:00:00,0,77.90,52.08
2041-01-01 23:00:00,0,71.14,51.18
2041-01-02 23:00:00,0,67.93,50.45
2041-01-03 23:00:00,500000,78.20,52.28
2041-01-04 23:00:00,500000,78.12,52.25
2041-01-05 23:00:00,0,70.53,51.80
2041-01-06 23:00:00,0,73.86,52.09
2041-01-07 23:00:00,-6677027,69.31,50.96
2041-01-08 23:00:00,-2627027,69.59,51.11
2041-01-09 23:00:00,1000000,75.44,51.28
2041-01-10 23:00:00,500000,78.20,52.10
2041-01-11 23:00:00,1000000,76.26,51.74
2041-01-12 23:00:00,0,76.91,51.72
2041-01-13 23:00:00,-218919,82.67,52.63
2041-01-14 23:00:00,-4054730,84.93,52.96
2041-01-15 23:00:00,-3933784,87.78,54.13
2041-01-16 23:00:00,0,90.02,53.38
2041-01-17 23:00:00,0,83.26,52.79
2041-01-18 23:00:00,0,85.24,53.25
2041-01-19 23:00:00,0,82.06,52.46
2041-01-20 23:00:00,0,84.41,52.98
2041-01-21 23:00:00,0,84.37,53.05
2041-01-22 23:00:00,0,77.90,52.50
2041-01-23 23:00:00,0,86.78,53.59
2041-01-24 23:00:00,0,88.28,53.80
2041-01-25 23:00:00,0,90.63,54.68
2041-01-26 23:00:00,0,89.44,54.63
2041-01-27 23:00:00,0,89.80,54.35
2041-01-28 23:00:00,0,90.26,54.10
2041-01-29 23:00:00,-2041376,91.37,54.76
2041-01-30 23:00:00,-1294648,92.06,55.38
2041-01-31 23:00:00,-1598394,92.81,55.81
2041-02-01 23:00:00,-3255103,91.41,55.04
2041-02-02 23:00:00,-4225138,92.24,55.49
2041-02-03 23:00:00,-8176301,93.11,55.82
2041-02-04 23:00:00,-6692592,93.40,55.83
2041-02-05 23:00:00,-9194595,94.57,57.33
2041-02-06 23:00:00,-8537838,93.18,56.69
2041-02-07 23:00:00,-4280150,92.67,56.27
2041-02-08 23:00:00,-2905917,91.68,55.50
2041-02-09 23:00:00,-1211931,91.33,55.22
2041-02-10 23:00:00,0,92.40,55.03
2041-02-11 23:00:00,0,92.89,55.45
2041-02-12 23:00:00,-1495324,92.70,55.57
2041-02-13 23:00:00,0,92.38,55.39
2041-02-14 23:00:00,0,90.00,53.89
2041-02-15 23:00:00,0,84.63,53.14
2041-02-16 23:00:00,0,86.82,53.54
2041-02-17 23:00:00,0,82.49,52.53
2041-02-18 23:00:00,0,82.11,52.47
2041-02-19 23:00:00,0,84.42,53.31
2041-02-20 23:00:00,0,86.15,53.63
2041-02-21 23:00:00,0,83.70,52.95
2041-02-22 23:00:00,0,78.69,52.05
2041-02-23 23:00:00,500000,78.44,51.71
2041-02-24 23:00:00,0,77.29,51.33
2041-02-25 23:00:00,-1915541,80.21,52.23
2041-02-26 23:00:00,0,82.52,53.51
2041-02-27 23:00:00,0,85.59,53.25
2041-02-28 23:00:00,0,78.52,52.40
2041-03-01 23:00:00,-766216,76.27,51.72
2041-03-02 23:00:00,0,81.33,52.73
2041-03-03 23:00:00,0,80.81,52.50
2041-03-04 23:00:00,-1149324,81.17,52.74
2041-03-05 23:00:00,-2517568,81.55,52.84
2041-03-06 23:00:00,-1915541,82.06,52.70
2041-03-07 23:00:00,-1915541,84.38,53.07
2041-03-08 23:00:00,-2298649,82.87,53.09
2041-03-09 23:00:00,-5746622,81.65,52.60
2041-03-10 23:00:00,-5746622,80.05,52.52
2041-03-11 23:00:00,-1149324,75.97,51.50
2041-03-12 23:00:00,0,76.39,51.50
2041-03-13 23:00:00,0,76.34,51.59
2041-03-14 23:00:00,-3064865,75.81,51.54
2041-03-15 23:00:00,-3064865,76.69,51.90
2041-03-16 23:00:00,0,76.90,51.75
2041-03-17 23:00:00,0,77.22,51.70
2041-03-18 23:00:00,-1532432,77.39,51.65
2041-03-19 23:00:00,-1532432,79.63,52.08
2041-03-20 23:00:00,-1149324,75.18,51.94
2041-03-21 23:00:00,-766216,74.35,51.61
2041-03-22 23:00:00,0,74.22,51.23
2041-03-23 23:00:00,-766216,73.83,51.71
2041-03-24 23:00:00,0,75.58,52.21
2041-03-25 23:00:00,500000,78.71,52.43
2041-03-26 23:00:00,-1149324,77.29,52.95
2041-03-27 23:00:00,129054,80.17,52.40
2041-03-28 23:00:00,-237162,79.58,52.68
2041-03-29 23:00:00,0,76.32,52.14
2041-03-30 23:00:00,-5129582,77.92,52.26
2041-03-31 23:00:00,-4706947,76.23,52.54
2041-04-01 23:00:00,-2791216,79.70,52.55
2041-04-02 23:00:00,0,83.00,53.87
2041-04-03 23:00:00,0,80.48,52.88
2041-04-04 23:00:00,-3557432,84.04,53.10
2041-04-05 23:00:00,-4940256,84.75,53.21
2041-04-06 23:00:00,-7881081,83.99,53.37
2041-04-07 23:00:00,-7826351,85.52,53.80
2041-04-08 23:00:00,-6129730,84.99,53.55
2041-04-09 23:00:00,-3447973,84.92,54.16
2041-04-10 23:00:00,-383108,81.10,52.98
2041-04-11 23:00:00,-6856609,75.73,51.65
2041-04-12 23:00:00,-3064865,75.43,51.86
2041-04-13 23:00:00,0,76.57,52.31
2041-04-14 23:00:00,1000000,77.18,51.88
2041-04-15 23:00:00,-1149324,79.58,52.40
2041-04-16 23:00:00,-3064865,80.14,52.23
2041-04-17 23:00:00,3000000,80.74,52.89
2041-04-18 23:00:00,1350676,82.29,53.22
2041-04-19 23:00:00,3500000,78.88,52.12
2041-04-20 23:00:00,-2174324,75.59,51.85
2041-04-21 23:00:00,-1751351,74.14,51.87
2041-04-22 23:00:00,-7437352,73.06,51.92
2041-04-23 23:00:00,-5965541,76.60,52.43
2041-04-24 23:00:00,-2014770,76.62,52.15
2041-04-25 23:00:00,4500000,74.79,51.92
2041-04-26 23:00:00,9500000,75.58,51.75
2041-04-27 23:00:00,701351,70.72,50.98
2041-04-28 23:00:00,-2432622,70.18,51.13
2041-04-29 23:00:00,-4597297,73.50,51.76
2041-04-30 23:00:00,-3882770,70.18,50.89
2041-05-01 23:00:00,-2681757,71.41,52.17
2041-05-02 23:00:00,2248649,72.10,51.87
2041-05-03 23:00:00,4500000,72.28,52.53
2041-05-04 23:00:00,7500000,73.63,53.50
2041-05-05 23:00:00,4500000,71.71,52.53
2041-05-06 23:00:00,201351,74.40,52.77
2041-05-07 23:00:00,-7881081,76.30,53.39
2041-05-08 23:00:00,1358108,76.48,52.28
2041-05-09 23:00:00,5525000,77.40,53.96
2041-05-10 23:00:00,6000000,72.00,53.00
2041-05-11 23:00:00,7525000,71.66,53.38
2041-05-12 23:00:00,5116892,72.91,54.10
2041-05-13 23:00:00,-2592949,75.18,53.01
2041-05-14 23:00:00,-5263176,76.99,53.54
2041-05-15 23:00:00,-6473311,73.54,52.83
2041-05-16 23:00:00,-510135,73.92,52.18
2041-05-17 23:00:00,3188831,76.82,52.72
2041-05-18 23:00:00,4000000,77.42,53.45
2041-05-19 23:00:00,8000000,75.98,53.88
2041-05-20 23:00:00,1666892,73.15,54.15
2041-05-21 23:00:00,-1308649,74.86,55.65
2041-05-22 23:00:00,-714527,75.60,55.43
2041-05-23 23:00:00,0,77.44,57.29
2041-05-24 23:00:00,646284,77.02,57.53
2041-05-25 23:00:00,-548986,76.13,57.35
2041-05-26 23:00:00,215541,76.24,57.50
2041-05-27 23:00:00,425000,77.20,59.48
2041-05-28 23:00:00,425000,74.57,58.25
2041-05-29 23:00:00,4125000,74.19,58.61
2041-05-30 23:00:00,-859459,72.14,56.71
2041-05-31 23:00:00,-1076014,75.02,55.88
2041-06-01 23:00:00,-1865743,75.76,55.27
2041-06-02 23:00:00,-4067112,75.60,54.51
2041-06-03 23:00:00,-5434480,74.88,54.63
2041-06-04 23:00:00,-3815878,74.49,53.94
2041-06-05 23:00:00,2204730,72.18,52.99
2041-06-06 23:00:00,7025000,73.07,53.15
2041-06-07 23:00:00,5000000,74.74,53.56
2041-06-08 23:00:00,5419257,71.75,53.54
2041-06-09 23:00:00,4000000,70.32,54.09
2041-06-10 23:00:00,3713135,71.52,53.53
2041-06-11 23:00:00,581757,71.35,53.03
2041-06-12 23:00:00,-2143581,71.46,54.20
2041-06-13 23:00:00,-2212838,70.54,53.80
2041-06-14 23:00:00,500000,72.51,54.35
2041-06-15 23:00:00,225000,74.97,53.94
2041-06-16 23:00:00,-988176,76.14,55.52
2041-06-17 23:00:00,-969932,71.43,54.04
2041-06-18 23:00:00,-2210811,70.97,54.12
2041-06-19 23:00:00,-1077027,73.30,54.62
2041-06-20 23:00:00,100000,72.93,55.47
2041-06-21 23:00:00,-256419,73.78,56.33
2041-06-22 23:00:00,-881081,71.30,56.07
